mobile_num,country,plan,start_Date,end_Date,duration,is_Active,days_Active
6.38138E+11,IND,DATAROAM15,9/6/2024 0:00,9/23/2024 0:00,17,TRUE,3
6.34596E+11,IND,DATAROAM14,9/3/2024 0:00,9/19/2024 9:00,16,TRUE,1
6.34883E+11,IND,DATAROAM14,9/2/2024 0:00,9/24/2024 10:00,22,TRUE,1
6.3848E+11,IND,DATAROAM15,9/6/2024 0:00,9/13/2024 11:00,7,FALSE,1
6.33275E+11,IND,DATAROAM14,9/15/2024 0:00,9/29/2024 12:00,14,TRUE,3
6.35313E+11,IND,DATAROAM15,9/6/2024 0:00,9/15/2024 13:00,9,FALSE,3
6.32532E+11,IND,DATAROAM14,9/7/2024 0:00,9/17/2024 14:00,10,FALSE,2
6.39451E+11,IND,DATAROAM14,9/14/2024 0:00,9/24/2024 15:00,10,TRUE,2
6.39666E+11,IND,DATAROAM14,9/14/2024 0:00,9/21/2024 16:00,7,TRUE,1
6.33774E+11,IND,DATAROAM14,9/12/2024 0:00,9/26/2024 17:00,14,TRUE,2
6.37684E+11,IND,DATAROAM15,9/14/2024 0:00,9/18/2024 18:00,4,TRUE,2
6.35609E+11,IND,DATAROAM15,9/10/2024 0:00,9/15/2024 19:00,5,FALSE,3
6.31273E+11,IND,DATAROAM15,9/1/2024 0:00,9/17/2024 20:00,16,FALSE,3
6.34349E+11,IND,DATAROAM15,9/11/2024 0:00,9/22/2024 21:00,11,TRUE,2
6.3344E+11,IND,DATAROAM15,9/13/2024 0:00,9/15/2024 22:00,2,FALSE,1
6.39697E+11,IND,DATAROAM14,9/13/2024 0:00,9/18/2024 23:00,5,TRUE,3
6.37488E+11,IND,DATAROAM15,9/8/2024 0:00,9/16/2024 8:00,8,FALSE,2
6.34442E+11,IND,DATAROAM15,9/15/2024 0:00,9/20/2024 9:00,5,TRUE,3
6.32436E+11,IND,DATAROAM15,9/14/2024 0:00,9/22/2024 10:00,8,TRUE,2
6.3727E+11,IND,DATAROAM15,9/8/2024 0:00,9/26/2024 11:00,18,TRUE,1
6.30291E+11,IND,DATAROAM15,9/7/2024 0:00,9/15/2024 12:00,8,FALSE,3
6.3338E+11,IND,DATAROAM15,9/2/2024 0:00,9/23/2024 13:00,21,TRUE,1
6.30733E+11,IND,DATAROAM15,9/2/2024 0:00,9/25/2024 14:00,23,TRUE,3
6.32695E+11,IND,DATAROAM15,9/12/2024 0:00,9/17/2024 15:00,5,FALSE,2
6.36289E+11,IND,DATAROAM15,9/7/2024 0:00,9/16/2024 16:00,9,FALSE,3
6.31412E+11,IND,DATAROAM15,9/4/2024 0:00,9/21/2024 17:00,17,TRUE,3
6.30955E+11,IND,DATAROAM15,9/7/2024 0:00,9/18/2024 18:00,11,TRUE,3
6.37775E+11,IND,DATAROAM14,9/13/2024 0:00,9/19/2024 19:00,6,TRUE,2
6.38689E+11,IND,DATAROAM15,9/6/2024 0:00,9/22/2024 20:00,16,TRUE,2
6.35623E+11,IND,DATAROAM15,9/6/2024 0:00,9/24/2024 21:00,18,TRUE,1
6.37568E+11,IND,DATAROAM15,9/10/2024 0:00,9/20/2024 22:00,10,TRUE,2
6.33084E+11,IND,DATAROAM15,9/15/2024 0:00,9/21/2024 23:00,6,TRUE,2
6.31783E+11,IND,DATAROAM15,9/6/2024 0:00,9/25/2024 8:00,19,TRUE,2
6.34385E+11,IND,DATAROAM15,9/9/2024 0:00,9/15/2024 9:00,6,FALSE,3
6.35581E+11,IND,DATAROAM15,9/13/2024 0:00,9/18/2024 10:00,5,TRUE,2
6.3709E+11,IND,DATAROAM15,9/13/2024 0:00,9/16/2024 11:00,3,FALSE,2
6.39309E+11,IND,DATAROAM15,9/12/2024 0:00,9/22/2024 12:00,10,TRUE,3
6.39039E+11,IND,DATAROAM15,9/12/2024 0:00,9/26/2024 13:00,14,TRUE,1
6.38635E+11,IND,DATAROAM14,9/5/2024 0:00,9/19/2024 14:00,14,TRUE,2
6.30919E+11,IND,DATAROAM15,9/12/2024 0:00,9/23/2024 15:00,11,TRUE,2
6.37398E+11,IND,DATAROAM15,9/4/2024 0:00,9/21/2024 16:00,17,TRUE,1
6.32148E+11,IND,DATAROAM15,9/14/2024 0:00,9/17/2024 17:00,3,FALSE,1
6.30188E+11,IND,DATAROAM15,9/1/2024 0:00,9/16/2024 18:00,15,FALSE,3
6.31415E+11,IND,DATAROAM15,9/10/2024 0:00,9/20/2024 19:00,10,TRUE,3
6.34726E+11,IND,DATAROAM15,9/6/2024 0:00,9/24/2024 20:00,18,TRUE,1
6.38647E+11,IND,DATAROAM15,9/3/2024 0:00,9/15/2024 21:00,12,FALSE,3
6.38056E+11,IND,DATAROAM15,9/1/2024 0:00,9/18/2024 22:00,17,TRUE,3
6.33047E+11,IND,DATAROAM15,9/3/2024 0:00,9/22/2024 23:00,19,TRUE,2
6.39071E+11,IND,DATAROAM15,9/8/2024 0:00,9/26/2024 8:00,18,TRUE,3
6.38577E+11,IND,DATAROAM15,9/15/2024 0:00,9/15/2024 9:00,0,FALSE,2
6.31023E+11,IND,DATAROAM14,9/3/2024 0:00,9/20/2024 10:00,17,TRUE,3
